Year,Skill,Count
2015,C#,463
2015,ASP.NET,184
2015,.NET Framework,163
2015,QA,137
2015,Тестирование,137
2015,Selenium IDE,137
2015,MVC,110
2015,MS SQL Server,110
2015,JavaScript,90
2015,jQuery,83
2015,MS SQL,76
2015,SQL,69
2015,ООП,57
2015,Git,54
2015,HTML,45
2015,Bootstrap,45
2015,MS Visual Studio,44
2015,LINQ,41
2015,WPF,39
2015,WCF,34
2016,C#,1020
2016,.NET Framework,559
2016,ASP.NET,516
2016,JavaScript,335
2016,MS SQL,276
2016,SQL,271
2016,ООП,257
2016,MVC,237
2016,MS SQL Server,225
2016,MS Visual Studio,179
2016,WPF,176
2016,HTML,165
2016,jQuery,163
2016,Git,162
2016,WCF,159
2016,Entity Framework,146
2016,CSS,119
2016,C++,115
2016,С#,109
2016,LINQ,100
2017,C#,1699
2017,.NET Framework,1025
2017,ASP.NET,891
2017,JavaScript,555
2017,SQL,465
2017,MVC,444
2017,MS SQL,422
2017,ООП,408
2017,MS SQL Server,359
2017,Git,353
2017,HTML,274
2017,MS Visual Studio,272
2017,Entity Framework,270
2017,WPF,260
2017,WCF,250
2017,jQuery,233
2017,CSS,198
2017,C++,169
2017,Unity,156
2017,С#,152
2018,C#,2616
2018,.NET Framework,1575
2018,ASP.NET,1358
2018,JavaScript,960
2018,MS SQL,804
2018,SQL,737
2018,MVC,693
2018,ООП,637
2018,Git,631
2018,Entity Framework,535
2018,HTML,531
2018,MS SQL Server,522
2018,MS Visual Studio,443
2018,CSS,429
2018,WPF,413
2018,jQuery,358
2018,WCF,353
2018,HTML5,267
2018,C++,262
2018,MySQL,247
2019,C#,3140
2019,.NET Framework,1665
2019,ASP.NET,1356
2019,SQL,1003
2019,JavaScript,932
2019,Git,891
2019,MS SQL,885
2019,ООП,652
2019,MVC,591
2019,Entity Framework,478
2019,HTML,476
2019,MS SQL Server,468
2019,WPF,458
2019,MS Visual Studio,446
2019,CSS,429
2019,WCF,319
2019,jQuery,313
2019,Unity,284
2019,PostgreSQL,272
2019,C++,267
2020,C#,4383
2020,.NET Framework,2176
2020,ASP.NET,1543
2020,SQL,1364
2020,Git,1326
2020,MS SQL,1089
2020,JavaScript,1042
2020,ООП,933
2020,MS SQL Server,710
2020,Entity Framework,698
2020,WPF,576
2020,PostgreSQL,576
2020,MVC,549
2020,HTML,520
2020,MS Visual Studio,511
2020,CSS,434
2020,Unity,425
2020,Английский язык,386
2020,WCF,366
2020,Visual Studio C#,327
2021,C#,6672
2021,.NET Framework,3081
2021,ASP.NET,2189
2021,Git,2056
2021,SQL,2053
2021,ООП,1530
2021,MS SQL,1447
2021,JavaScript,1359
2021,PostgreSQL,1145
2021,Entity Framework,987
2021,MS SQL Server,876
2021,Английский язык,749
2021,WPF,717
2021,MS Visual Studio,671
2021,.NET Core,658
2021,HTML,654
2021,MVC,651
2021,Unity,594
2021,CSS,506
2021,С#,454
2022,C#,5371
2022,.NET Framework,2578
2022,Git,1900
2022,SQL,1783
2022,ASP.NET,1694
2022,ООП,1303
2022,MS SQL,1190
2022,PostgreSQL,1095
2022,JavaScript,967
2022,.NET Core,874
2022,Entity Framework,842
2022,Английский язык,629
2022,WPF,612
2022,MS SQL Server,585
2022,HTML,550
2022,С#,505
2022,MS Visual Studio,478
2022,MVC,433
2022,Docker,425
2022,CSS,415
2023,C#,3178
2023,.NET Framework,1533
2023,SQL,1088
2023,Git,1016
2023,ASP.NET,1009
2023,PostgreSQL,989
2023,MS SQL,742
2023,ООП,725
2023,.NET Core,627
2023,С#,564
2023,Entity Framework,545
2023,JavaScript,503
2023,WPF,430
2023,RabbitMQ,295
2023,MS SQL Server,293
2023,Docker,285
2023,HTML,284
2023,.NET,284
2023,MVC,278
2023,MS Visual Studio,263
2024,C#,1998
2024,ASP.NET,837
2024,SQL,821
2024,.NET Framework,806
2024,PostgreSQL,779
2024,Git,705
2024,.NET Core,601
2024,С#,486
2024,MS SQL,421
2024,ООП,339
2024,Entity Framework,323
2024,JavaScript,299
2024,RabbitMQ,282
2024,Docker,255
2024,WPF,248
2024,ASP.NET Core,228
2024,REST,226
2024,MS SQL Server,192
2024,MongoDB,162
2024,HTML,155
